small	1 machine	2 machine 	3 machine	Sequential		medium	1 machine	2 machine 	3 machine	Sequential		large	1 machine	2 machine 	3 machine	Sequential
	6,52527976	5,881503582	6,156676531	2,139958858			7,316712379	6,442565918	5,900080919	2,139958858			13,86117291	9,310147762	9,413736582	4,654964924
	5,878568172	5,554563284	6,504166603	2,282413483			6,822857618	6,552527905	6,092577934	2,282413483			14,02799702	9,569721699	9,632134438	4,590925217
	6,024864912	5,595447302	6,02543664	2,335273743			6,868797302	6,201637983	5,891938448	2,335273743			13,43023992	9,99617672	9,38426733	4,613090754
	6,84458971	5,530789137	5,520287514	2,249987364			7,546510458	5,917999744	6,155289888	2,249987364			13,44457603	9,888217211	9,377681971	4,466006994
	6,019121408	5,488144398	6,068913698	2,314123631			7,03588748	6,35253644	6,301920652	2,314123631			13,9873631	9,595175266	9,67126441	4,567361355
	6,606778622	5,811547279	5,777114868	2,279876232			6,946969271	6,020310402	7,03633213	2,279876232			13,71731019	9,521831751	9,809402704	4,54806304
	6,065657139	5,808920383	5,6922369	2,294791937			6,908666611	5,980010509	6,423796177	2,294791937			15,08818531	9,680179596	9,62491107	4,624088287
	5,877067566	5,594579458	5,580881596	2,289970398			7,133684397	5,950297594	6,563571453	2,289970398			13,74958682	9,574971676	9,818585873	4,424826384
	5,866912842	5,691517115	5,456778526	2,270366907			7,391112566	6,259190798	6,151361942	2,270366907			13,59350276	9,526409388	9,767782927	4,632458448
	6,218110085	5,978445292	7,125563622	2,293397427			6,867241859	6,436807632	6,041643858	2,293397427			13,42714119	9,668020487	10,48206043	4,632419586
	6,148723364	5,882919073	5,713665247	2,292310238			7,052764416	5,960075617	5,825709343	2,292310238			14,32292581	10,03574562	9,577843428	4,596627474
	5,881136179	5,732184649	5,953811407	2,327583313			6,803269148	6,19848156	6,137872458	2,327583313			13,87212729	9,498261452	9,485914469	4,460736752
	6,086102486	6,136693001	5,76863718	2,330927134			6,711453438	5,967143297	5,818473101	2,330927134			13,57994652	9,477745056	10,08282852	4,558991432
	5,90003109	5,459942102	5,641623974	2,270579576			6,844048977	5,964679718	5,513834238	2,270579576			13,63561416	9,462434292	9,549671173	4,648774624
	5,8785851	5,705732107	5,682990074	2,280130863			6,795246601	5,965085268	6,189262867	2,280130863			13,59717703	9,460020065	9,477649212	4,649359941
	6,330015659	5,320445061	5,867699862	2,286571503			9,212249756	5,880117655	6,239112854	2,286571503			14,14386868	9,791214943	9,444355488	4,500792503
	5,865449429	5,652700901	5,514717102	2,310667992			6,743501186	6,200265884	6,016228914	2,310667992			13,56472898	9,842287302	9,498141289	4,586990595
	6,013837337	5,763224602	5,594822168	2,352384329			6,753798008	6,16357398	5,974952698	2,352384329			14,11906576	9,746712446	9,470289707	4,579313755
	6,101514339	5,531796455	5,513456821	2,31106019			6,86979723	6,448517323	5,881233215	2,31106019			13,75914502	9,67230463	9,570207596	4,578944206
	6,309440851	6,076560497	5,833212614	2,061103106			7,304616451	5,989031076	6,215496302				13,41605568	10,2049799	9,686597586
Mean	6,122089303	5,709882784	5,849634647	2,278673911	#¡DIV/0!	#¡DIV/0!	7,096459258	6,142542815	6,11853447	2,290125006	#¡DIV/0!	#¡DIV/0!	13,81688651	9,676127863	9,64126631	4,574459804
Desviación	0,270315804	0,206501268	0,386806714	0,065381531	#¡DIV/0!	#¡DIV/0!	0,537753863	0,206732607	0,310923213	0,043326431	#¡DIV/0!	#¡DIV/0!	0,388481739	0,220679377	0,257399397	0,06599599
